Date,Close,Open,High,Low,Volume,Symbol,Label
2021-05-20,1278.22,1264.62,1278.22,1255.78,745210.0,VNINDEX,2
2021-05-21,1283.93,1272.84,1289.03,1268.46,698930.0,VNINDEX,2
2021-05-24,1297.98,1287.5,1299.83,1287.36,715510.0,VNINDEX,2
2021-05-25,1308.58,1299.19,1308.58,1297.23,679060.0,VNINDEX,2
2021-05-26,1316.7,1308.04,1317.3,1304.68,713070.0,VNINDEX,2
2021-05-27,1303.57,1318.42,1319.67,1299.99,733000.0,VNINDEX,2
2021-05-28,1320.46,1307.79,1323.09,1300.06,768850.0,VNINDEX,2
2021-05-31,1328.05,1326.65,1328.05,1307.56,737180.0,VNINDEX,2
2021-06-01,1337.78,1329.47,1346.34,1328.84,629420.0,VNINDEX,2
2021-06-02,1340.78,1337.78,1344.98,1330.82,805240.0,VNINDEX,2
2021-06-03,1364.28,1345.21,1366.0,1345.21,898880.0,VNINDEX,2
2021-06-04,1374.05,1367.06,1374.05,1360.42,943330.0,VNINDEX,2
2021-06-07,1358.78,1374.59,1375.74,1347.21,876690.0,VNINDEX,2
2021-06-08,1319.88,1355.36,1364.48,1318.11,924510.0,VNINDEX,2
2021-06-09,1332.9,1323.52,1339.14,1312.08,822290.0,VNINDEX,2
2021-06-10,1323.58,1332.9,1336.71,1317.49,723490.0,VNINDEX,2
2021-06-11,1351.74,1326.79,1352.47,1322.08,731260.0,VNINDEX,2
2021-06-14,1361.72,1352.73,1368.53,1352.73,775730.0,VNINDEX,2
